1.78,0.28,9.32,gesture_3
1.78,0.28,9.31,gesture_3
1.8,0.3,9.31,gesture_3
1.79,0.29,9.34,gesture_3
1.78,0.28,9.36,gesture_3
1.78,0.3,9.32,gesture_3
1.8,0.28,9.34,gesture_3
1.8,0.28,9.31,gesture_3
1.77,0.28,9.31,gesture_3
1.8,0.3,9.32,gesture_3
1.77,0.33,9.35,gesture_3
1.82,0.33,9.15,gesture_3
1.78,0.31,9.31,gesture_3
2.09,-0.47,11.43,gesture_3
1.76,0.31,9.29,gesture_3
1.75,0.3,9.3,gesture_3
1.76,0.31,9.31,gesture_3
1.73,0.21,9.59,gesture_3
1.74,0.25,9.56,gesture_3
1.77,0.32,9.29,gesture_3
0.8,0.34,9.32,gesture_3
0.83,0.39,9.55,gesture_3
0.64,-0.12,9.51,gesture_3
0.79,0.34,9.35,gesture_3
0.79,0.31,9.33,gesture_3
0.77,0.4,9.38,gesture_3
0.81,0.33,9.14,gesture_3
0.77,0.31,9.33,gesture_3
0.79,0.33,9.3,gesture_3
0.71,0.38,9.35,gesture_3
0.77,0.35,9.23,gesture_3
0.77,0.32,9.34,gesture_3
0.76,0.37,9.65,gesture_3
0.74,-0.08,9.67,gesture_3
0.77,0.32,9.36,gesture_3
0.8,0.31,9.32,gesture_3
0.82,0.32,9.34,gesture_3
0.81,0.46,9.12,gesture_3
0.79,0.33,9.32,gesture_3
0.55,1.61,3.31,gesture_3
0.74,0.35,9.36,gesture_3
0.78,0.3,9.26,gesture_3
0.77,0.32,9.3,gesture_3
0.79,0.46,9.78,gesture_3
0.77,-0.03,9.62,gesture_3
0.75,0.34,9.38,gesture_3
0.8,0.32,9.34,gesture_3
0.74,0.36,9.47,gesture_3
0.8,0.4,9.23,gesture_3
0.78,0.32,9.32,gesture_3
0.35,-0.17,14.14,gesture_3
0.74,0.17,9.47,gesture_3
0.77,0.31,9.24,gesture_3
0.8,0.31,9.31,gesture_3
0.79,0.37,9.44,gesture_3
0.73,0.8,8.77,gesture_3
0.75,0.33,9.34,gesture_3
0.01,1.57,7.31,gesture_3
0.72,0.19,9.43,gesture_3
0.79,0.31,9.27,gesture_3
0.79,0.31,9.32,gesture_3
0.8,0.33,9.83,gesture_3
0.76,-0.09,9.85,gesture_3
0.75,0.33,9.37,gesture_3
0.62,3.21,-1.69,gesture_3
0.73,0.3,9.49,gesture_3
0.76,0.32,9.25,gesture_3
0.78,0.31,9.32,gesture_3
0.74,0.37,9.44,gesture_3
0.77,0.41,9.18,gesture_3
0.77,0.33,9.3,gesture_3
0.03,-0.32,10.58,gesture_3
0.84,-0.05,9.75,gesture_3
0.78,0.33,9.37,gesture_3
0.41,-0.96,16.65,gesture_3
0.8,0.09,9.58,gesture_3
0.79,0.37,9.36,gesture_3
0.16,0.79,2.68,gesture_3
0.72,0.2,9.42,gesture_3
0.78,0.31,9.27,gesture_3
0.81,0.32,9.29,gesture_3
0.73,0.3,9.41,gesture_3
0.78,0.33,9.34,gesture_3
0.81,0.33,9.33,gesture_3
0.78,0.37,9.39,gesture_3
0.68,0.62,8.56,gesture_3
0.82,0.34,9.33,gesture_3
0.92,-0.19,9.67,gesture_3
0.73,0.8,8.39,gesture_3
0.77,0.35,9.36,gesture_3
0.38,3.7,0.18,gesture_3
0.78,0.19,9.55,gesture_3
0.78,0.38,9.34,gesture_3
0.82,0.35,9.31,gesture_3
0.76,0.36,9.42,gesture_3
0.81,0.31,9.26,gesture_3
0.8,0.34,9.36,gesture_3
0.78,0.39,9.34,gesture_3
0.82,0.68,8.79,gesture_3
0.78,0.33,9.3,gesture_3
