acceleration.x,acceleration.y,acceleration.z,gesture
3.08,-3.73,-19.14,gesture_2
0.65,0.09,8.68,gesture_2
0.52,0.61,10.31,gesture_2
0.64,0.32,9.03,gesture_2
0.61,0.21,9.39,gesture_2
0.4,1.86,9.26,gesture_2
0.65,0.13,9.37,gesture_2
0.38,1.26,10.47,gesture_2
0.66,0.26,8.89,gesture_2
0.61,0.2,9.48,gesture_2
0.49,1.62,11.45,gesture_2
0.65,0.27,9.7,gesture_2
0.41,-0.63,10.61,gesture_2
0.7,0.2,8.82,gesture_2
0.66,0.22,9.4,gesture_2
0.56,0.7,11.11,gesture_2
0.74,0.23,9.43,gesture_2
0.61,0.62,9.94,gesture_2
0.72,0.23,8.93,gesture_2
0.66,0.25,9.37,gesture_2
0.75,0.77,10.88,gesture_2
0.14,1.41,10.49,gesture_2
0.51,0.01,7.46,gesture_2
0.67,0.25,9.33,gesture_2
0.67,0.24,9.29,gesture_2
0.72,0.41,10.76,gesture_2
0.54,0.59,9.57,gesture_2
0.64,0.18,9.6,gesture_2
0.64,0.23,9.5,gesture_2
0.67,0.27,9.18,gesture_2
0.3,0.19,6.39,gesture_2
0.6,0.76,11.16,gesture_2
0.71,0.3,9.39,gesture_2
0.6,0.2,9.5,gesture_2
0.53,1.48,9.78,gesture_2
0.67,0.1,9.33,gesture_2
0.7,0.6,10.38,gesture_2
0.71,0.33,9.16,gesture_2
0.61,0.22,9.52,gesture_2
0.55,0.56,10.09,gesture_2
0.73,0.24,9.42,gesture_2
0.32,-0.18,10.42,gesture_2
0.73,0.29,8.84,gesture_2
0.66,0.26,9.39,gesture_2
4.38,-5.17,-19.61,gesture_2
0.75,0.21,8.85,gesture_2
0.44,0.67,11.23,gesture_2
0.68,0.33,9.15,gesture_2
0.61,0.23,9.47,gesture_2
0.64,0.23,9.35,gesture_2
0.76,0.39,8.21,gesture_2
0.68,0.57,10.17,gesture_2
0.65,0.29,9.47,gesture_2
0.63,0.24,9.42,gesture_2
4.16,-5.35,-3.54,gesture_2
0.66,0.28,9.47,gesture_2
0.63,0.67,10.17,gesture_2
0.66,0.32,9.17,gesture_2
0.63,0.25,9.44,gesture_2
0.62,0.24,9.35,gesture_2
0.62,0.51,10.49,gesture_2
0.68,0.25,9.21,gesture_2
0.23,0.53,6.52,gesture_2
0.63,0.25,9.32,gesture_2
0.66,0.26,9.3,gesture_2
0.03,0.27,10.43,gesture_2
0.94,2.49,13.32,gesture_2
0.61,0.18,9.38,gesture_2
0.64,0.25,9.39,gesture_2
0.68,0.27,9.24,gesture_2
0.55,0.37,8.52,gesture_2
0.71,0.73,10.83,gesture_2
0.7,0.29,9.25,gesture_2
0.61,0.25,9.46,gesture_2
0.82,0.77,10.53,gesture_2
0.64,0.31,9.23,gesture_2
0.83,-0.28,11.34,gesture_2
0.65,0.27,9.17,gesture_2
0.68,0.29,9.31,gesture_2
0.82,1.17,10.89,gesture_2
0.69,0.26,9.07,gesture_2
0.38,0.31,6.62,gesture_2
0.65,0.28,9.4,gesture_2
0.67,0.28,9.28,gesture_2
0.64,0.27,9.36,gesture_2
0.21,0.15,6.24,gesture_2
0.82,1.27,10.36,gesture_2
0.67,0.26,9.54,gesture_2
0.64,0.23,9.44,gesture_2
0.77,0.37,9.11,gesture_2
0.66,0.21,8.79,gesture_2
0.51,0.75,11.3,gesture_2
0.69,0.35,9.19,gesture_2
0.61,0.26,9.52,gesture_2
0.67,0.3,9.31,gesture_2
0.66,0.71,10.45,gesture_2
0.66,0.31,9.18,gesture_2
0.59,0.24,7.75,gesture_2
0.56,0.75,11.45,gesture_2
0.69,0.32,9.25,gesture_2
0.62,0.24,9.5,gesture_2
0.67,0.3,9.32,gesture_2
0.68,0.27,9.28,gesture_2
0.6,0.9,10.5,gesture_2
0.69,0.31,9.21,gesture_2
0.61,0.26,6.12,gesture_2
0.65,0.28,9.28,gesture_2
0.67,0.29,9.29,gesture_2
0.59,0.35,10.29,gesture_2
0.73,0.31,9.27,gesture_2
0.39,0.03,7.43,gesture_2
0.67,0.28,9.25,gesture_2
0.65,0.28,9.3,gesture_2
0.66,0.28,9.41,gesture_2
0.63,0.21,8.73,gesture_2
0.61,0.89,11.06,gesture_2
0.71,0.35,9.23,gesture_2
0.65,0.27,9.46,gesture_2
0.68,0.29,9.3,gesture_2
0.44,0.15,7.44,gesture_2
0.49,0.57,10.54,gesture_2
0.63,0.35,9.16,gesture_2
0.62,0.27,9.43,gesture_2
0.65,0.3,9.35,gesture_2
0.73,1.07,10.87,gesture_2
0.69,0.29,9.28,gesture_2
0.95,-1.02,10.81,gesture_2
0.7,0.3,9.07,gesture_2
0.66,0.28,9.33,gesture_2
0.66,0.27,9.37,gesture_2
0.32,0.39,6.66,gesture_2
0.71,0.85,10.84,gesture_2
0.7,0.3,9.27,gesture_2
0.63,0.27,9.42,gesture_2
0.66,0.31,9.34,gesture_2
0.7,0.83,10.49,gesture_2
0.63,0.34,9.25,gesture_2
0.37,0.47,7.3,gesture_2
0.66,0.31,9.22,gesture_2
0.67,0.31,9.3,gesture_2
0.62,0.27,9.41,gesture_2
0.15,0.43,6.4,gesture_2
